question;answer;text
Where does Grêmio play their home games in the Brasileirão Série A 2023?;Grêmio plays their home games at Arena do Grêmio in the Brasileirão Série A 2023.;<s>[INST] Where does Grêmio play their home games in the Brasileirão Série A 2023? [/INST] Grêmio plays their home games at Arena do Grêmio in the Brasileirão Série A 2023. </s>
When was Grêmio founded?;Grêmio was founded on 09/15/1903.;<s>[INST] When was Grêmio founded? [/INST] Grêmio was founded on 09/15/1903. </s>
In which country is Grêmio based?;Grêmio is based in Brazil.;<s>[INST] In which country is Grêmio based? [/INST] Grêmio is based in Brazil. </s>
What is the full name of Grêmio?;The full name of Grêmio is Grêmio.;<s>[INST] What is the full name of Grêmio? [/INST] The full name of Grêmio is Grêmio. </s>
Who is the manager of Red Bull Bragantino in the Brasileirão Série A 2023?;The manager of Red Bull Bragantino in the Brasileirão Série A 2023 is Pedro Caixinha.;<s>[INST] Who is the manager of Red Bull Bragantino in the Brasileirão Série A 2023? [/INST] The manager of Red Bull Bragantino in the Brasileirão Série A 2023 is Pedro Caixinha. </s>
Where does Red Bull Bragantino play their home games in the Brasileirão Série A 2023?;Red Bull Bragantino plays their home games at Estadio Nabi Abi Chedid in the Brasileirão Série A 2023.;<s>[INST] Where does Red Bull Bragantino play their home games in the Brasileirão Série A 2023? [/INST] Red Bull Bragantino plays their home games at Estadio Nabi Abi Chedid in the Brasileirão Série A 2023. </s>
When was Red Bull Bragantino founded?;Red Bull Bragantino was founded on 01/08/1928.;<s>[INST] When was Red Bull Bragantino founded? [/INST] Red Bull Bragantino was founded on 01/08/1928. </s>
In which country is Red Bull Bragantino based?;Red Bull Bragantino is based in Brazil.;<s>[INST] In which country is Red Bull Bragantino based? [/INST] Red Bull Bragantino is based in Brazil. </s>
What is the full name of Red Bull Bragantino?;The full name of Red Bull Bragantino is Red Bull Bragantino.;<s>[INST] What is the full name of Red Bull Bragantino? [/INST] The full name of Red Bull Bragantino is Red Bull Bragantino. </s>
Who is the manager of Atlético Mineiro in the Brasileirão Série A 2023?;The manager of Atlético Mineiro in the Brasileirão Série A 2023 is Luiz Felipe Scolari.;<s>[INST] Who is the manager of Atlético Mineiro in the Brasileirão Série A 2023? [/INST] The manager of Atlético Mineiro in the Brasileirão Série A 2023 is Luiz Felipe Scolari. </s>
Where does Atlético Mineiro play their home games in the Brasileirão Série A 2023?;Atlético Mineiro plays their home games at Arena MRV in the Brasileirão Série A 2023.;<s>[INST] Where does Atlético Mineiro play their home games in the Brasileirão Série A 2023? [/INST] Atlético Mineiro plays their home games at Arena MRV in the Brasileirão Série A 2023. </s>
When was Atlético Mineiro founded?;Atlético Mineiro was founded on 03/25/1908.;<s>[INST] When was Atlético Mineiro founded? [/INST] Atlético Mineiro was founded on 03/25/1908. </s>
In which country is Atlético Mineiro based?;Atlético Mineiro is based in Brazil.;<s>[INST] In which country is Atlético Mineiro based? [/INST] Atlético Mineiro is based in Brazil. </s>
What is the full name of Atlético Mineiro?;The full name of Atlético Mineiro is Atlético Mineiro.;<s>[INST] What is the full name of Atlético Mineiro? [/INST] The full name of Atlético Mineiro is Atlético Mineiro. </s>
Who is the manager of Fluminense in the Brasileirão Série A 2023?;The manager of Fluminense in the Brasileirão Série A 2023 is Fernando Diniz.;<s>[INST] Who is the manager of Fluminense in the Brasileirão Série A 2023? [/INST] The manager of Fluminense in the Brasileirão Série A 2023 is Fernando Diniz. </s>
Where does Fluminense play their home games in the Brasileirão Série A 2023?;Fluminense plays their home games at Estádio do Maracanã in the Brasileirão Série A 2023.;<s>[INST] Where does Fluminense play their home games in the Brasileirão Série A 2023? [/INST] Fluminense plays their home games at Estádio do Maracanã in the Brasileirão Série A 2023. </s>
When was Fluminense founded?;Fluminense was founded on 07/21/1902.;<s>[INST] When was Fluminense founded? [/INST] Fluminense was founded on 07/21/1902. </s>
In which country is Fluminense based?;Fluminense is based in Brazil.;<s>[INST] In which country is Fluminense based? [/INST] Fluminense is based in Brazil. </s>
What is the full name of Fluminense?;The full name of Fluminense is Fluminense.;<s>[INST] What is the full name of Fluminense? [/INST] The full name of Fluminense is Fluminense. </s>
Who is the manager of Athletico in the Brasileirão Série A 2023?;The manager of Athletico in the Brasileirão Série A 2023 is Wesley Carvalho.;<s>[INST] Who is the manager of Athletico in the Brasileirão Série A 2023? [/INST] The manager of Athletico in the Brasileirão Série A 2023 is Wesley Carvalho. </s>
Where does Athletico play their home games in the Brasileirão Série A 2023?;Athletico plays their home games at Ligga Arena in the Brasileirão Série A 2023.;<s>[INST] Where does Athletico play their home games in the Brasileirão Série A 2023? [/INST] Athletico plays their home games at Ligga Arena in the Brasileirão Série A 2023. </s>
When was Athletico founded?;Athletico was founded on 03/26/1924.;<s>[INST] When was Athletico founded? [/INST] Athletico was founded on 03/26/1924. </s>
In which country is Athletico based?;Athletico is based in Brazil.;<s>[INST] In which country is Athletico based? [/INST] Athletico is based in Brazil. </s>
What is the full name of Athletico?;The full name of Athletico is Athletico.;<s>[INST] What is the full name of Athletico? [/INST] The full name of Athletico is Athletico. </s>
Who is the manager of Cuiabá in the Brasileirão Série A 2023?;The manager of Cuiabá in the Brasileirão Série A 2023 is António Oliveira.;<s>[INST] Who is the manager of Cuiabá in the Brasileirão Série A 2023? [/INST] The manager of Cuiabá in the Brasileirão Série A 2023 is António Oliveira. </s>
Where does Cuiabá play their home games in the Brasileirão Série A 2023?;Cuiabá plays their home games at Arena Pantanal in the Brasileirão Série A 2023.;<s>[INST] Where does Cuiabá play their home games in the Brasileirão Série A 2023? [/INST] Cuiabá plays their home games at Arena Pantanal in the Brasileirão Série A 2023. </s>
When was Cuiabá founded?;Cuiabá was founded on 03/16/2021.;<s>[INST] When was Cuiabá founded? [/INST] Cuiabá was founded on 03/16/2021. </s>
In which country is Cuiabá based?;Cuiabá is based in Brazil.;<s>[INST] In which country is Cuiabá based? [/INST] Cuiabá is based in Brazil. </s>
What is the full name of Cuiabá?;The full name of Cuiabá is Cuiabá.;<s>[INST] What is the full name of Cuiabá? [/INST] The full name of Cuiabá is Cuiabá. </s>
Who is the manager of São Paulo in the Brasileirão Série A 2023?;The manager of São Paulo in the Brasileirão Série A 2023 is Dorival Júnior.;<s>[INST] Who is the manager of São Paulo in the Brasileirão Série A 2023? [/INST] The manager of São Paulo in the Brasileirão Série A 2023 is Dorival Júnior. </s>
Where does São Paulo play their home games in the Brasileirão Série A 2023?;São Paulo plays their home games at Estádio Cicero Pompeu de Toledo in the Brasileirão Série A 2023.;<s>[INST] Where does São Paulo play their home games in the Brasileirão Série A 2023? [/INST] São Paulo plays their home games at Estádio Cicero Pompeu de Toledo in the Brasileirão Série A 2023. </s>
When was São Paulo founded?;São Paulo was founded on 12/16/1935.;<s>[INST] When was São Paulo founded? [/INST] São Paulo was founded on 12/16/1935. </s>
In which country is São Paulo based?;São Paulo is based in Brazil.;<s>[INST] In which country is São Paulo based? [/INST] São Paulo is based in Brazil. </s>
What is the full name of São Paulo?;The full name of São Paulo is São Paulo.;<s>[INST] What is the full name of São Paulo? [/INST] The full name of São Paulo is São Paulo. </s>
Who is the manager of Fortaleza in the Brasileirão Série A 2023?;The manager of Fortaleza in the Brasileirão Série A 2023 is Juan Pablo Vojvoda.;<s>[INST] Who is the manager of Fortaleza in the Brasileirão Série A 2023? [/INST] The manager of Fortaleza in the Brasileirão Série A 2023 is Juan Pablo Vojvoda. </s>
Where does Fortaleza play their home games in the Brasileirão Série A 2023?;Fortaleza plays their home games at Arena Castelão in the Brasileirão Série A 2023.;<s>[INST] Where does Fortaleza play their home games in the Brasileirão Série A 2023? [/INST] Fortaleza plays their home games at Arena Castelão in the Brasileirão Série A 2023. </s>
When was Fortaleza founded?;Fortaleza was founded on 10/18/1918.;<s>[INST] When was Fortaleza founded? [/INST] Fortaleza was founded on 10/18/1918. </s>
In which country is Fortaleza based?;Fortaleza is based in Brazil.;<s>[INST] In which country is Fortaleza based? [/INST] Fortaleza is based in Brazil. </s>
What is the full name of Fortaleza?;The full name of Fortaleza is Fortaleza.;<s>[INST] What is the full name of Fortaleza? [/INST] The full name of Fortaleza is Fortaleza. </s>
Who is the manager of Corinthians in the Brasileirão Série A 2023?;The manager of Corinthians in the Brasileirão Série A 2023 is Mano Menezes.;<s>[INST] Who is the manager of Corinthians in the Brasileirão Série A 2023? [/INST] The manager of Corinthians in the Brasileirão Série A 2023 is Mano Menezes. </s>
Where does Corinthians play their home games in the Brasileirão Série A 2023?;Corinthians plays their home games at Neo Química Arena in the Brasileirão Série A 2023.;<s>[INST] Where does Corinthians play their home games in the Brasileirão Série A 2023? [/INST] Corinthians plays their home games at Neo Química Arena in the Brasileirão Série A 2023. </s>
When was Corinthians founded?;Corinthians was founded on 09/01/1910.;<s>[INST] When was Corinthians founded? [/INST] Corinthians was founded on 09/01/1910. </s>
In which country is Corinthians based?;Corinthians is based in Brazil.;<s>[INST] In which country is Corinthians based? [/INST] Corinthians is based in Brazil. </s>
What is the full name of Corinthians?;The full name of Corinthians is Corinthians.;<s>[INST] What is the full name of Corinthians? [/INST] The full name of Corinthians is Corinthians. </s>
Who is the manager of Internacional in the Brasileirão Série A 2023?;The manager of Internacional in the Brasileirão Série A 2023 is Eduardo Coudet.;<s>[INST] Who is the manager of Internacional in the Brasileirão Série A 2023? [/INST] The manager of Internacional in the Brasileirão Série A 2023 is Eduardo Coudet. </s>
Where does Internacional play their home games in the Brasileirão Série A 2023?;Internacional plays their home games at Estadio Beira-Rio in the Brasileirão Série A 2023.;<s>[INST] Where does Internacional play their home games in the Brasileirão Série A 2023? [/INST] Internacional plays their home games at Estadio Beira-Rio in the Brasileirão Série A 2023. </s>
When was Internacional founded?;Internacional was founded on 04/04/1909.;<s>[INST] When was Internacional founded? [/INST] Internacional was founded on 04/04/1909. </s>
In which country is Internacional based?;Internacional is based in Brazil.;<s>[INST] In which country is Internacional based? [/INST] Internacional is based in Brazil. </s>
What is the full name of Internacional?;The full name of Internacional is Internacional.;<s>[INST] What is the full name of Internacional? [/INST] The full name of Internacional is Internacional. </s>
Who is the manager of Vasco da Gama in the Brasileirão Série A 2023?;The manager of Vasco da Gama in the Brasileirão Série A 2023 is Ramón Díaz.;<s>[INST] Who is the manager of Vasco da Gama in the Brasileirão Série A 2023? [/INST] The manager of Vasco da Gama in the Brasileirão Série A 2023 is Ramón Díaz. </s>
Where does Vasco da Gama play their home games in the Brasileirão Série A 2023?;Vasco da Gama plays their home games at Estádio São Januário in the Brasileirão Série A 2023.;<s>[INST] Where does Vasco da Gama play their home games in the Brasileirão Série A 2023? [/INST] Vasco da Gama plays their home games at Estádio São Januário in the Brasileirão Série A 2023. </s>
When was Vasco da Gama founded?;Vasco da Gama was founded on 08/21/1898.;<s>[INST] When was Vasco da Gama founded? [/INST] Vasco da Gama was founded on 08/21/1898. </s>
In which country is Vasco da Gama based?;Vasco da Gama is based in Brazil.;<s>[INST] In which country is Vasco da Gama based? [/INST] Vasco da Gama is based in Brazil. </s>
What is the full name of Vasco da Gama?;The full name of Vasco da Gama is Vasco da Gama.;<s>[INST] What is the full name of Vasco da Gama? [/INST] The full name of Vasco da Gama is Vasco da Gama. </s>
Who is the manager of Santos in the Brasileirão Série A 2023?;The manager of Santos in the Brasileirão Série A 2023 is Marcelo Fernandes.;<s>[INST] Who is the manager of Santos in the Brasileirão Série A 2023? [/INST] The manager of Santos in the Brasileirão Série A 2023 is Marcelo Fernandes. </s>
Where does Santos play their home games in the Brasileirão Série A 2023?;Santos plays their home games at Urbano Caldeira in the Brasileirão Série A 2023.;<s>[INST] Where does Santos play their home games in the Brasileirão Série A 2023? [/INST] Santos plays their home games at Urbano Caldeira in the Brasileirão Série A 2023. </s>
When was Santos founded?;Santos was founded on 04/14/1912.;<s>[INST] When was Santos founded? [/INST] Santos was founded on 04/14/1912. </s>
In which country is Santos based?;Santos is based in Brazil.;<s>[INST] In which country is Santos based? [/INST] Santos is based in Brazil. </s>
What is the full name of Santos?;The full name of Santos is Santos.;<s>[INST] What is the full name of Santos? [/INST] The full name of Santos is Santos. </s>
Who is the manager of Bahia in the Brasileirão Série A 2023?;The manager of Bahia in the Brasileirão Série A 2023 is Rogério Ceni.;<s>[INST] Who is the manager of Bahia in the Brasileirão Série A 2023? [/INST] The manager of Bahia in the Brasileirão Série A 2023 is Rogério Ceni. </s>
Where does Bahia play their home games in the Brasileirão Série A 2023?;Bahia plays their home games at Arena Fonte Nova in the Brasileirão Série A 2023.;<s>[INST] Where does Bahia play their home games in the Brasileirão Série A 2023? [/INST] Bahia plays their home games at Arena Fonte Nova in the Brasileirão Série A 2023. </s>
When was Bahia founded?;Bahia was founded on 01/01/1931.;<s>[INST] When was Bahia founded? [/INST] Bahia was founded on 01/01/1931. </s>
In which country is Bahia based?;Bahia is based in Brazil.;<s>[INST] In which country is Bahia based? [/INST] Bahia is based in Brazil. </s>
What is the full name of Bahia?;The full name of Bahia is Bahia.;<s>[INST] What is the full name of Bahia? [/INST] The full name of Bahia is Bahia. </s>
Who is the manager of Cruzeiro in the Brasileirão Série A 2023?;The manager of Cruzeiro in the Brasileirão Série A 2023 is Paulo Autuori.;<s>[INST] Who is the manager of Cruzeiro in the Brasileirão Série A 2023? [/INST] The manager of Cruzeiro in the Brasileirão Série A 2023 is Paulo Autuori. </s>
Where does Cruzeiro play their home games in the Brasileirão Série A 2023?;Cruzeiro plays their home games at Governador Magalhaes Pinto in the Brasileirão Série A 2023.;<s>[INST] Where does Cruzeiro play their home games in the Brasileirão Série A 2023? [/INST] Cruzeiro plays their home games at Governador Magalhaes Pinto in the Brasileirão Série A 2023. </s>
When was Cruzeiro founded?;Cruzeiro was founded on 01/02/1921.;<s>[INST] When was Cruzeiro founded? [/INST] Cruzeiro was founded on 01/02/1921. </s>
In which country is Cruzeiro based?;Cruzeiro is based in Brazil.;<s>[INST] In which country is Cruzeiro based? [/INST] Cruzeiro is based in Brazil. </s>
What is the full name of Cruzeiro?;The full name of Cruzeiro is Cruzeiro.;<s>[INST] What is the full name of Cruzeiro? [/INST] The full name of Cruzeiro is Cruzeiro. </s>
Who is the manager of Goiás in the Brasileirão Série A 2023?;The manager of Goiás in the Brasileirão Série A 2023 is Armando Evangelista.;<s>[INST] Who is the manager of Goiás in the Brasileirão Série A 2023? [/INST] The manager of Goiás in the Brasileirão Série A 2023 is Armando Evangelista. </s>
Where does Goiás play their home games in the Brasileirão Série A 2023?;Goiás plays their home games at Estádio Hailé Pinheiro in the Brasileirão Série A 2023.;<s>[INST] Where does Goiás play their home games in the Brasileirão Série A 2023? [/INST] Goiás plays their home games at Estádio Hailé Pinheiro in the Brasileirão Série A 2023. </s>
When was Goiás founded?;Goiás was founded on 04/06/1943.;<s>[INST] When was Goiás founded? [/INST] Goiás was founded on 04/06/1943. </s>
In which country is Goiás based?;Goiás is based in Brazil.;<s>[INST] In which country is Goiás based? [/INST] Goiás is based in Brazil. </s>
What is the full name of Goiás?;The full name of Goiás is Goiás.;<s>[INST] What is the full name of Goiás? [/INST] The full name of Goiás is Goiás. </s>
Who is the manager of Coritiba in the Brasileirão Série A 2023?;The manager of Coritiba in the Brasileirão Série A 2023 is Thiago Kosloski.;<s>[INST] Who is the manager of Coritiba in the Brasileirão Série A 2023? [/INST] The manager of Coritiba in the Brasileirão Série A 2023 is Thiago Kosloski. </s>
Where does Coritiba play their home games in the Brasileirão Série A 2023?;Coritiba plays their home games at Estádio Couto Pereira in the Brasileirão Série A 2023.;<s>[INST] Where does Coritiba play their home games in the Brasileirão Série A 2023? [/INST] Coritiba plays their home games at Estádio Couto Pereira in the Brasileirão Série A 2023. </s>
When was Coritiba founded?;Coritiba was founded on 10/12/1909.;<s>[INST] When was Coritiba founded? [/INST] Coritiba was founded on 10/12/1909. </s>
In which country is Coritiba based?;Coritiba is based in Brazil.;<s>[INST] In which country is Coritiba based? [/INST] Coritiba is based in Brazil. </s>
What is the full name of Coritiba?;The full name of Coritiba is Coritiba.;<s>[INST] What is the full name of Coritiba? [/INST] The full name of Coritiba is Coritiba. </s>
Who is the manager of América Mineiro in the Brasileirão Série A 2023?;The manager of América Mineiro in the Brasileirão Série A 2023 is Diogo Giacomini.;<s>[INST] Who is the manager of América Mineiro in the Brasileirão Série A 2023? [/INST] The manager of América Mineiro in the Brasileirão Série A 2023 is Diogo Giacomini. </s>
Where does América Mineiro play their home games in the Brasileirão Série A 2023?;América Mineiro plays their home games at Arena Independência in the Brasileirão Série A 2023.;<s>[INST] Where does América Mineiro play their home games in the Brasileirão Série A 2023? [/INST] América Mineiro plays their home games at Arena Independência in the Brasileirão Série A 2023. </s>
When was América Mineiro founded?;América Mineiro was founded on 04/30/1912.;<s>[INST] When was América Mineiro founded? [/INST] América Mineiro was founded on 04/30/1912. </s>
In which country is América Mineiro based?;América Mineiro is based in Brazil.;<s>[INST] In which country is América Mineiro based? [/INST] América Mineiro is based in Brazil. </s>
What is the full name of América Mineiro?;The full name of América Mineiro is América Mineiro.;<s>[INST] What is the full name of América Mineiro? [/INST] The full name of América Mineiro is América Mineiro. </s>
Who is the manager of Ceará in the Brasileirão Série A 2022?;The manager of Ceará in the Brasileirão Série A 2022 is Guto Ferreira.;<s>[INST] Who is the manager of Ceará in the Brasileirão Série A 2022? [/INST] The manager of Ceará in the Brasileirão Série A 2022 is Guto Ferreira. </s>
Where does Ceará play their home games in the Brasileirão Série A 2022?;Ceará plays their home games at Arena Castelão in the Brasileirão Série A 2022.;<s>[INST] Where does Ceará play their home games in the Brasileirão Série A 2022? [/INST] Ceará plays their home games at Arena Castelão in the Brasileirão Série A 2022. </s>
When was Ceará founded?;Ceará was founded on 06/02/1914.;<s>[INST] When was Ceará founded? [/INST] Ceará was founded on 06/02/1914. </s>
In which country is Ceará based?;Ceará is based in Brazil.;<s>[INST] In which country is Ceará based? [/INST] Ceará is based in Brazil. </s>
What is the full name of Ceará?;The full name of Ceará is Ceará.;<s>[INST] What is the full name of Ceará? [/INST] The full name of Ceará is Ceará. </s>
Who is the manager of Atlético Goianiense in the Brasileirão Série A 2022?;The manager of Atlético Goianiense in the Brasileirão Série A 2022 is Jair Ventura.;<s>[INST] Who is the manager of Atlético Goianiense in the Brasileirão Série A 2022? [/INST] The manager of Atlético Goianiense in the Brasileirão Série A 2022 is Jair Ventura. </s>
Where does Atlético Goianiense play their home games in the Brasileirão Série A 2022?;Atlético Goianiense plays their home games at Estadio Antonio Accioly in the Brasileirão Série A 2022.;<s>[INST] Where does Atlético Goianiense play their home games in the Brasileirão Série A 2022? [/INST] Atlético Goianiense plays their home games at Estadio Antonio Accioly in the Brasileirão Série A 2022. </s>
When was Atlético Goianiense founded?;Atlético Goianiense was founded on 04/02/1937.;<s>[INST] When was Atlético Goianiense founded? [/INST] Atlético Goianiense was founded on 04/02/1937. </s>
In which country is Atlético Goianiense based?;Atlético Goianiense is based in Brazil.;<s>[INST] In which country is Atlético Goianiense based? [/INST] Atlético Goianiense is based in Brazil. </s>
What is the full name of Atlético Goianiense?;The full name of Atlético Goianiense is Atlético Goianiense.;<s>[INST] What is the full name of Atlético Goianiense? [/INST] The full name of Atlético Goianiense is Atlético Goianiense. </s>
Who is the manager of Avaí in the Brasileirão Série A 2022?;The manager of Avaí in the Brasileirão Série A 2022 is Eduardo Barroca.;<s>[INST] Who is the manager of Avaí in the Brasileirão Série A 2022? [/INST] The manager of Avaí in the Brasileirão Série A 2022 is Eduardo Barroca. </s>
Where does Avaí play their home games in the Brasileirão Série A 2022?;Avaí plays their home games at Estádio da Ressacada in the Brasileirão Série A 2022.;<s>[INST] Where does Avaí play their home games in the Brasileirão Série A 2022? [/INST] Avaí plays their home games at Estádio da Ressacada in the Brasileirão Série A 2022. </s>
When was Avaí founded?;Avaí was founded on 09/01/1923.;<s>[INST] When was Avaí founded? [/INST] Avaí was founded on 09/01/1923. </s>
In which country is Avaí based?;Avaí is based in Brazil.;<s>[INST] In which country is Avaí based? [/INST] Avaí is based in Brazil. </s>
What is the full name of Avaí?;The full name of Avaí is Avaí.;<s>[INST] What is the full name of Avaí? [/INST] The full name of Avaí is Avaí. </s>
Who is the manager of Juventude in the Brasileirão Série A 2022?;The manager of Juventude in the Brasileirão Série A 2022 is Thiago Carpini.;<s>[INST] Who is the manager of Juventude in the Brasileirão Série A 2022? [/INST] The manager of Juventude in the Brasileirão Série A 2022 is Thiago Carpini. </s>
Where does Juventude play their home games in the Brasileirão Série A 2022?;Juventude plays their home games at Estádio Alfredo Jaconi in the Brasileirão Série A 2022.;<s>[INST] Where does Juventude play their home games in the Brasileirão Série A 2022? [/INST] Juventude plays their home games at Estádio Alfredo Jaconi in the Brasileirão Série A 2022. </s>
When was Juventude founded?;Juventude was founded on 06/29/1913.;<s>[INST] When was Juventude founded? [/INST] Juventude was founded on 06/29/1913. </s>
In which country is Juventude based?;Juventude is based in Brazil.;<s>[INST] In which country is Juventude based? [/INST] Juventude is based in Brazil. </s>
What is the full name of Juventude?;The full name of Juventude is Juventude.;<s>[INST] What is the full name of Juventude? [/INST] The full name of Juventude is Juventude. </s>
Who is the manager of Sport Recife in the Brasileirão Série A 2021?;The manager of Sport Recife in the Brasileirão Série A 2021 is Enderson Moreira.;<s>[INST] Who is the manager of Sport Recife in the Brasileirão Série A 2021? [/INST] The manager of Sport Recife in the Brasileirão Série A 2021 is Enderson Moreira. </s>
Where does Sport Recife play their home games in the Brasileirão Série A 2021?;Sport Recife plays their home games at Ilha do Retiro in the Brasileirão Série A 2021.;<s>[INST] Where does Sport Recife play their home games in the Brasileirão Série A 2021? [/INST] Sport Recife plays their home games at Ilha do Retiro in the Brasileirão Série A 2021. </s>
When was Sport Recife founded?;Sport Recife was founded on 05/13/1905.;<s>[INST] When was Sport Recife founded? [/INST] Sport Recife was founded on 05/13/1905. </s>
In which country is Sport Recife based?;Sport Recife is based in Brazil.;<s>[INST] In which country is Sport Recife based? [/INST] Sport Recife is based in Brazil. </s>
What is the full name of Sport Recife?;The full name of Sport Recife is Sport Recife.;<s>[INST] What is the full name of Sport Recife? [/INST] The full name of Sport Recife is Sport Recife. </s>
Who is the manager of Chapecoense in the Brasileirão Série A 2021?;The manager of Chapecoense in the Brasileirão Série A 2021 is Claudinei Oliveira.;<s>[INST] Who is the manager of Chapecoense in the Brasileirão Série A 2021? [/INST] The manager of Chapecoense in the Brasileirão Série A 2021 is Claudinei Oliveira. </s>
Where does Chapecoense play their home games in the Brasileirão Série A 2021?;Chapecoense plays their home games at Arena Condá in the Brasileirão Série A 2021.;<s>[INST] Where does Chapecoense play their home games in the Brasileirão Série A 2021? [/INST] Chapecoense plays their home games at Arena Condá in the Brasileirão Série A 2021. </s>
When was Chapecoense founded?;Chapecoense was founded on 05/10/1973.;<s>[INST] When was Chapecoense founded? [/INST] Chapecoense was founded on 05/10/1973. </s>
In which country is Chapecoense based?;Chapecoense is based in Brazil.;<s>[INST] In which country is Chapecoense based? [/INST] Chapecoense is based in Brazil. </s>
What is the full name of Chapecoense?;The full name of Chapecoense is Chapecoense.;<s>[INST] What is the full name of Chapecoense? [/INST] The full name of Chapecoense is Chapecoense. </s>
Who is the manager of CSA in the Brasileirão Série A 2019?;The manager of CSA in the Brasileirão Série A 2019 is Marcelo Cabo.;<s>[INST] Who is the manager of CSA in the Brasileirão Série A 2019? [/INST] The manager of CSA in the Brasileirão Série A 2019 is Marcelo Cabo. </s>
Where does CSA play their home games in the Brasileirão Série A 2019?;CSA plays their home games at Estádio Rei Pelé in the Brasileirão Série A 2019.;<s>[INST] Where does CSA play their home games in the Brasileirão Série A 2019? [/INST] CSA plays their home games at Estádio Rei Pelé in the Brasileirão Série A 2019. </s>
When was CSA founded?;CSA was founded on 09/07/1913.;<s>[INST] When was CSA founded? [/INST] CSA was founded on 09/07/1913. </s>
In which country is CSA based?;CSA is based in Brazil.;<s>[INST] In which country is CSA based? [/INST] CSA is based in Brazil. </s>
What is the full name of CSA?;The full name of CSA is CSA.;<s>[INST] What is the full name of CSA? [/INST] The full name of CSA is CSA. </s>
Who is the manager of Vitória in the Brasileirão Série A 2018?;The manager of Vitória in the Brasileirão Série A 2018 is Léo Condé.;<s>[INST] Who is the manager of Vitória in the Brasileirão Série A 2018? [/INST] The manager of Vitória in the Brasileirão Série A 2018 is Léo Condé. </s>
Where does Vitória play their home games in the Brasileirão Série A 2018?;Vitória plays their home games at Estadio Manoel Barradas in the Brasileirão Série A 2018.;<s>[INST] Where does Vitória play their home games in the Brasileirão Série A 2018? [/INST] Vitória plays their home games at Estadio Manoel Barradas in the Brasileirão Série A 2018. </s>
